List Name,Card Name,Card Description,Labels
"00 - Pilotage","JOKKO BACKEND - Inventaire reel du projet","Statut: reference Trello alignee sur le backend actuel.

Objectif: refleter exactement le projet NestJS/Prisma present dans backend/src, backend/test et backend/docs.

Base API: /api/v1
Swagger: /api/docs
Postman: backend/docs/collection_postman_test

Modules branches dans AppModule:
- SharedModule
- CoreModule
- PrismaModule
- SanteModule
- AuthModule
- UsersModule
- ProfessionalsModule
- CategoriesModule
- NegotiationsModule
- NotificationsModule
- DisputesModule
- MessagingModule
- LiveTrackingModule
- AdminModule
- SearchModule
- ReservationsModule
- PaymentsModule

Modules backend implementes:
- auth
- users
- professionals
- categories
- search
- negotiations
- reservations
- messaging
- live-tracking
- payments
- notifications
- disputes
- admin
- sante

Backlog backend restant:
- upload media reel
- documents / factures
- parrainage / cashback
- Redis distribue reel pour throttling, cache et Socket.IO multi-instance
- observabilite production complete
- worker outbox robuste

Preuve projet:
- backend/src/app.module.ts
- backend/test/*.e2e-spec.ts
- backend/docs/POSTMAN_TESTS.md
- backend/docs/cahier_des_charges_jokko.md
- backend/docs/ARCHITECTURE_PROFESSIONNELLE.md","Reference;Backend;Documentation"
"00 - Pilotage","Standards transverses API et architecture","Statut: implemente.

Regles transverses:
- prefixe global /api/v1
- enveloppe HTTP standard success, message, data, meta
- exception filter global
- validation globale avec whitelist, forbidNonWhitelisted, forbidUnknownValues, transform
- messages centralises
- Swagger francise
- audit middleware global
- throttling global Nest Throttler
- helmet
- CORS centralise HTTP et Socket.IO
- shutdown hooks actives

Fichiers:
- backend/src/main.ts
- backend/src/core/core.module.ts
- backend/src/core/http/api-exception.filter.ts
- backend/src/core/http/validation-exception.factory.ts
- backend/src/core/config/env.validation.ts
- backend/src/core/config/cors.config.ts
- backend/src/core/audit/audit-logger.middleware.ts
- backend/src/core/messages

Checklist:
- [x] Validation globale
- [x] Exception filter global
- [x] CORS HTTP
- [x] CORS Socket.IO
- [x] Helmet
- [x] Throttling global
- [x] Audit middleware
- [x] Swagger
- [ ] Redis distribue pour rate limit multi-instance
- [ ] Observabilite Sentry/metrics complete","Core;Security;Architecture"
"00 - Pilotage","Verification qualite et tests disponibles","Statut: implemente et documente.

Commandes de verification:
- npm.cmd run build
- npm.cmd run lint
- npm.cmd test -- --runInBand
- npm.cmd run test:e2e -- --runInBand

Suites e2e presentes:
- app.e2e-spec.ts
- auth.e2e-spec.ts
- users.e2e-spec.ts
- professionals.e2e-spec.ts
- categories.e2e-spec.ts
- search.e2e-spec.ts
- negotiations.e2e-spec.ts
- reservations.e2e-spec.ts
- messaging.e2e-spec.ts
- live-tracking.e2e-spec.ts
- payments.e2e-spec.ts
- notifications.e2e-spec.ts
- disputes.e2e-spec.ts
- admin.e2e-spec.ts

Note Windows:
- preferer --runInBand pour eviter spawn EPERM Jest

Fichiers:
- backend/package.json
- backend/test/jest-e2e.json
- backend/test/*.e2e-spec.ts
- backend/src/**/*.spec.ts","Tests;QA;Backend"
"01 - Sante et Infrastructure","Sante API et verification base de donnees","Statut: implemente.

Endpoint:
- GET /api/v1/sante

Role:
- public

Fonction:
- expose l'etat de sante applicatif
- verifie la connectivite base de donnees
- renvoie baseDeDonnees connectee ou deconnectee

Fichiers:
- backend/src/sante/sante.module.ts
- backend/src/sante/presentation/controllers/sante.controller.ts
- backend/src/sante/application
- backend/src/sante/infrastructure/prisma

Tests:
- backend/test/app.e2e-spec.ts

Points d'attention:
- si la reponse indique baseDeDonnees deconnectee, corriger DATABASE_URL ou l'acces reseau avant les tests Swagger/Postman metier","Sante;Infrastructure;P0"
"01 - Sante et Infrastructure","Prisma, migrations, seed et base de donnees","Statut: implemente.

Stack:
- Prisma 7
- prisma.config.ts
- PostgreSQL
- @prisma/adapter-pg

Commandes:
- npm.cmd run prisma:generate
- npm.cmd run prisma:migrate:dev
- npm.cmd run prisma:migrate:deploy
- npm.cmd run prisma:seed
- npm.cmd run prisma:studio

Fichiers:
- backend/prisma/schema.prisma
- backend/prisma/migrations
- backend/prisma/seed.ts
- backend/prisma.config.ts
- backend/src/prisma/prisma.module.ts
- backend/src/prisma/prisma.service.ts

Donnees couvertes par le schema:
- utilisateurs
- sessions refresh
- OTP
- profils professionnels
- categories
- services
- disponibilites
- portfolio
- reservations
- negotiations
- paiements
- retraits
- wallets ledger
- webhooks paiement
- conversations
- messages
- notifications
- tracking
- presence
- litiges
- audit
- outbox events

Points d'attention:
- garder schema.prisma compatible Prisma 7
- verifier migrations avant prod
- seed sert au developpement et tests manuels, pas comme source de verite production","Prisma;Database;Infrastructure"
"01 - Sante et Infrastructure","Docker et deploiement backend","Statut: implemente.

Fichiers:
- backend/Dockerfile
- backend/docker-compose.yml
- backend/docker-compose.dev.yml
- backend/docker-compose.prod.yml
- backend/.dockerignore
- backend/scripts/docker/entrypoint.sh

Commandes:
- npm run docker:build
- npm run docker:dev
- npm run docker:dev:down
- npm run docker:up
- npm run docker:up:d
- npm run docker:down
- npm run docker:logs

Comportement:
- image multi-stage
- runtime non-root node
- healthcheck /api/v1/sante
- entrypoint applique prisma migrate deploy sauf PRISMA_SKIP_MIGRATIONS=true
- services docker prod: backend, postgres, redis

Variables importantes:
- DATABASE_URL
- POSTGRES_USER
- POSTGRES_PASSWORD
- POSTGRES_DB
- JWT_ACCESS_SECRET
- JWT_REFRESH_SECRET
- CORS_ORIGINS
- PAYMENT_WEBHOOK_SECRET
- REDIS_PASSWORD

Backlog production:
- CI/CD deploiement cloud
- monitoring runtime
- sauvegardes PostgreSQL
- rotation secrets","Docker;Deploy;Production"
"02 - Auth","Authentification OTP, inscription, login et sessions","Statut: implemente.

Endpoints:
- POST /api/v1/auth/otp/send
- POST /api/v1/auth/otp/verify
- POST /api/v1/auth/register
- POST /api/v1/auth/login
- POST /api/v1/auth/google/login
- POST /api/v1/auth/refresh
- POST /api/v1/auth/logout
- GET /api/v1/auth/me

Roles:
- public pour OTP, register, login, google login, refresh, logout
- authentifie pour /auth/me

Fonctions:
- normalisation telephone
- OTP
- creation compte client
- login mot de passe
- Google login si GOOGLE_CLIENT_ID configure
- JWT access token
- refresh token avec session persistante
- rotation refresh token
- logout/revocation
- blocage compte actif respecte

Fichiers:
- backend/src/auth/auth.module.ts
- backend/src/auth/presentation/controllers/auth.controller.ts
- backend/src/auth/application/services/auth.service.ts
- backend/src/auth/application/services/jwt-token.service.ts
- backend/src/auth/application/services/otp.service.ts
- backend/src/auth/application/services/refresh-session.service.ts
- backend/src/auth/application/services/google-auth.service.ts
- backend/src/auth/security/jwt-auth.guard.ts
- backend/src/auth/security/current-user.decorator.ts
- backend/src/auth/infrastructure/repositories/auth.repository.ts
- backend/src/auth/infrastructure/repositories/otp.repository.ts

Tests:
- backend/test/auth.e2e-spec.ts
- backend/src/auth/application/auth.service.spec.ts

Backlog:
- validation provider SMS reel avec Twilio/Infobip en staging
- politique anti-bruteforce distribuee via Redis","Auth;Security;P0"
"03 - Users","Profil utilisateur courant et anonymisation","Statut: implemente.

Endpoints:
- GET /api/v1/users/me
- PATCH /api/v1/users/me
- POST /api/v1/users/me/avatar
- GET /api/v1/users/me/history
- DELETE /api/v1/users/me

Roles:
- CLIENT
- PRESTATAIRE
- ADMIN selon usage authentifie

Fonctions:
- lire son profil
- modifier nom, email, telephone selon DTO
- enregistrer avatar par URL
- consulter historique personnel
- anonymiser/supprimer son compte
- invalidation refresh apres anonymisation

Fichiers:
- backend/src/users/users.module.ts
- backend/src/users/presentation/controllers/users.controller.ts
- backend/src/users/application/services/users.service.ts
- backend/src/users/infrastructure/repositories/users.repository.ts
- backend/src/users/presentation/dto

Tests:
- backend/test/users.e2e-spec.ts
- backend/src/users/application/users.service.spec.ts

Limite actuelle:
- avatar par URL seulement
- upload fichier reel non implemente","Users;Profile;Auth"
"03 - Users","Administration utilisateurs","Statut: implemente.

Endpoints:
- GET /api/v1/admin/users
- GET /api/v1/admin/users/:userId
- GET /api/v1/admin/users/:userId/history
- PATCH /api/v1/admin/users/:userId/block
- PATCH /api/v1/admin/users/:userId/unblock

Role:
- ADMIN uniquement

Fonctions:
- lister utilisateurs
- filtrer par role/statut/recherche
- consulter detail utilisateur
- consulter historique
- bloquer compte
- debloquer compte
- login respecte le blocage

Fichiers:
- backend/src/users/presentation/controllers/admin-users.controller.ts
- backend/src/users/application/services/users.service.ts
- backend/src/shared/guards/roles.guard.ts
- backend/src/auth/security/jwt-auth.guard.ts

Tests:
- backend/test/admin.e2e-spec.ts
- backend/test/users.e2e-spec.ts","Admin;Users;Security"
"04 - Professionals","Profil professionnel, KYC, services, portfolio et disponibilites","Statut: implemente.

Endpoints prives:
- POST /api/v1/professionals/profile
- GET /api/v1/professionals/me
- PATCH /api/v1/professionals/me
- PATCH /api/v1/professionals/me/kyc/submit
- POST /api/v1/professionals/me/services
- PATCH /api/v1/professionals/me/services/:serviceId
- DELETE /api/v1/professionals/me/services/:serviceId
- POST /api/v1/professionals/me/portfolio
- DELETE /api/v1/professionals/me/portfolio/:itemId
- POST /api/v1/professionals/me/availabilities
- DELETE /api/v1/professionals/me/availabilities/:availabilityId

Endpoints publics:
- GET /api/v1/professionals
- GET /api/v1/professionals/:id
- GET /api/v1/professionals/:id/services
- GET /api/v1/professionals/:id/portfolio
- GET /api/v1/professionals/:id/availabilities
- GET /api/v1/professionals/:id/reviews

Roles:
- PRESTATAIRE pour gestion pro
- public pour consultation profils verifies

Fonctions:
- creer profil pro
- modifier profil pro
- soumettre KYC par URLs documents
- creer/mettre a jour/desactiver service
- gerer portfolio
- gerer disponibilites
- exposer fiche publique, services, portfolio, disponibilites, avis

Fichiers:
- backend/src/professionals/professionals.module.ts
- backend/src/professionals/presentation/controllers/professionals.controller.ts
- backend/src/professionals/application/services
- backend/src/professionals/domain
- backend/src/professionals/infrastructure/repositories

Tests:
- backend/test/professionals.e2e-spec.ts
- backend/src/professionals/application/professionals.service.spec.ts

Limite actuelle:
- documents KYC et portfolio par URL uniquement
- upload reel non implemente","Professionals;KYC;Services"
