List Name,Card Name,Card Description,Labels
To Do,ARCH-01 Freeze commission rule,"Decider commission globale (3% ou 7%) et unifier toutes les docs + calculs. Done = valeur unique validee business + legale.",P0 Critique;Business
To Do,ARCH-02 Freeze stack versions,"Valider versions cibles Node Nest Prisma PostgreSQL Redis. Done = matrice version publiee dans docs.",P0 Critique;Infra
To Do,ARCH-03 API contract v1,"Confirmer prefix /api/v1, format success/error, policy deprecation. Done = conventions ecrites + exemples.",P0 Critique;Architecture
To Do,ARCH-04 Booking state machine,"Formaliser transitions autorisees/interdites. Done = diagramme + tests de transitions.",P0 Critique;Booking
To Do,ARCH-05 Payment state machine,"Formaliser etats paiement et mapping vers booking. Done = diagramme + regles d echec.",P0 Critique;Paiement
To Do,ARCH-06 Definition of Done globale,"Template unique endpoint: DTO validation auth roles tests logs metrics docs. Done = template adopte.",P0 Critique;Qualite
To Do,AUTH-01 POST /auth/otp/send,"Endpoint OTP send avec throttle anti spam et validation phone SN. Done = tests rate limit + logs.",P0 Critique;Auth
To Do,AUTH-02 POST /auth/otp/verify,"Endpoint OTP verify avec TTL et max tentatives. Done = creation session ou erreur metier.",P0 Critique;Auth
To Do,AUTH-03 POST /auth/register,"Inscription classique avec consentement CGU requis. Done = user cree + audit.",P0 Critique;Auth
To Do,AUTH-04 POST /auth/login,"Connexion avec policy lockout progressif. Done = access + refresh emis.",P0 Critique;Auth
To Do,AUTH-05 POST /auth/refresh,"Rotation refresh token + revoke ancien. Done = ancien refresh invalide immediatement.",P0 Critique;Auth;Securite
To Do,AUTH-06 POST /auth/logout,"Logout invalide refresh courant. Done = token non reutilisable.",P0 Critique;Auth;Securite
To Do,AUTH-07 Google sign in,"Integrer Google sign in backend verification token. Done = lien compte phone/email coherent.",P0 Critique;Auth
To Do,USER-01 GET /users/me,"Retour profil courant sans champs sensibles. Done = ACL + tests.",P0 Critique;Users
To Do,USER-02 PUT /users/me,"Update profil avec validation stricte. Done = changements traces dans audit.",P0 Critique;Users
To Do,USER-03 DELETE /users/me,"Anonymisation conforme legal/CDP. Done = procedure irreversible documentee.",P0 Critique;Conformite
To Do,PRO-01 POST /professionals/profile,"Creation profil pro avec KYC status PENDING. Done = profil persisté + event.",P0 Critique;Professionals
To Do,PRO-02 GET /professionals,"Recherche list pro avec filtres de base. Done = pagination cursor.",P0 Critique;Professionals
To Do,PRO-03 GET /professionals/:id,"Fiche complete pro avec note portfolio disponibilites. Done = reponse <2s cible.",P0 Critique;Professionals
To Do,KYC-01 PATCH /professionals/kyc/submit,"Soumission document KYC pro. Done = dossier passe PENDING + audit.",P0 Critique;KYC
To Do,KYC-02 PATCH /admin/kyc/:id/approve,"Validation KYC admin. Done = statut VERIFIED + notification pro.",P0 Critique;KYC;Admin
